Date,Open,High,Low,Close,Adj Close,Volume
7/1/2019,26805.85938,27398.67969,26616.21094,26864.26953,26864.26953,5207470000
8/1/2019,26879.85938,27175.58984,25339.59961,26403.2793,26403.2793,8170730000
9/1/2019,26198.25977,27306.73047,25978.2207,26916.83008,26916.83008,5045520000
10/1/2019,26962.53906,27204.35938,25743.46094,27046.23047,27046.23047,5660960000
11/1/2019,27142.94922,28174.9707,27142.94922,28051.41016,28051.41016,4925180000
12/1/2019,28109.74023,28701.66016,27325.13086,28538.43945,28538.43945,5086880000
1/1/2020,28638.9707,29373.61914,28169.5293,28256.0293,28256.0293,6170770000
2/1/2020,28319.65039,29568.57031,24681.00977,25409.35938,25409.35938,6991990000
3/1/2020,25590.50977,27102.33984,18213.65039,21917.16016,21917.16016,15521140000
4/1/2020,21227.38086,24764.76953,20735.01953,24345.7207,24345.7207,9795600000
5/1/2020,24120.7793,25758.78906,22789.61914,25383.10938,25383.10938,7940630000
6/1/2020,25342.99023,27580.21094,24843.17969,25812.88086,25812.88086,9710480000
