Date,Open,High,Low,Close,Adj Close,Volume
7/1/2019,373.5,384.76001,305.809998,322.98999,322.98999,196671300
8/1/2019,324.25,328.579987,287.200012,293.75,293.75,137076700
9/1/2019,290.820007,301.549988,252.279999,267.619995,267.619995,175411300
10/1/2019,267.350006,308.75,257.01001,287.410004,287.410004,231556400
11/1/2019,288.700012,316.820007,281.140015,314.660004,314.660004,113645900
12/1/2019,314.390015,338,292.019989,323.570007,323.570007,124723600
1/1/2020,326.100006,359.850006,321.200012,345.089996,345.089996,169874000
2/1/2020,347.23999,392.950012,346.279999,369.029999,369.029999,114060300
3/1/2020,373.109985,393.519989,290.25,375.5,375.5,201979100
4/1/2020,376.049988,449.519989,357.51001,419.850006,419.850006,225147500
5/1/2020,415.100006,458.970001,397.859985,419.730011,419.730011,135077500
6/1/2020,418.829987,474.01001,404.25,455.040009,455.040009,117269000
,,,,,,
,,,,,,
